seq_idx,current_start1,current_end1,current_start2,current_end2,length
48,3618584,3623297,3761575,3766288,4714
24,3942874,3947612,4167811,4172549,4739
24,4165711,4172249,4207113,4213651,6539
24,3940774,3947412,4207113,4213751,6639
11,3942860,3947472,4036675,4041287,4613
11,4034475,4040887,4206999,4213411,6413
11,3940360,3946972,4206699,4213311,6613
11,4165597,4172209,4206999,4213611,6613
11,3940260,3946972,4165197,4171909,6713
11,4034575,4041387,4165697,4172509,6813
12,4168151,4172461,4209553,4213863,4311
12,4035328,4041638,4207853,4214163,6311
12,3941414,3947824,4035228,4041638,6411
12,3940814,3947424,4207153,4213763,6611
12,3940614,3947324,4165551,4172261,6711
12,4034128,4041038,4165251,4172161,6911
45,2725962,2732346,3423561,3429945,6385
46,2725966,2732348,3423571,3429953,6383
54,4166463,4172973,4207865,4214375,6511
28,222541,228658,4206917,4213034,6118
52,4035336,4041606,4207859,4214129,6271
25,4035334,4041573,4207858,4214097,6240
25,4166456,4172895,4207858,4214297,6440
25,4034634,4041473,4165756,4172595,6840
53,4165718,4172254,4207120,4213656,6537
16,223487,229921,3941432,3947866,6435
16,3941432,3947866,4035246,4041680,6435
16,222287,229021,4034046,4040780,6735
44,2725962,2732434,3423561,3430033,6473
50,3941426,3947830,4035240,4041644,6405
49,3940470,3947094,4206809,4213433,6625
29,222323,229025,4034082,4040784,6703
51,4034170,4041032,4165298,4172160,6863
